venue_id,name,type,location,
99,Павловский центр культуры,CS-ALL,S,
100,Арт-галерея Город Искусств,CC-ART,C,
101,Галар Кампот,CC-ALT,C,
102,Бертгольд-Центр,CC-ART,C,
103,Союз концертных деятелей,CS-ALL,C,
104,Тайное общество,CC-ALT,C,
105,Театр-лаборатория Арт-Измерение,CC-PER,C,
106,Галерея искусств Чердак Художника,CC-ART,C,
107,Галерея 12 Июля,CC-ART,C,
108,Библиотека Ленина,TL-LIB-LOC,C,
109,Музей Пушкина,TL-MUS,H,
110,Banka Soundbar,CM-FNB,C,
111,biblioteka,CM-FNB,C,
112,Библиотека Бронницкая,TL-LIB-LOC,C,
113,Ресторан VEER,CM-FNB,C,
114,Ресторан-клуб эстетики хоррора The Bat,CM-FNB,C,
115,Бутерброд,CM-FNB,C,
116,the place,CC-ALT,C,
117,Галерея Ветер странствий,CC-ART,C,
118,Money-Honey,CM-FNB,C,
119,Галерея Двойка,CC-ART,C,
120,Росфото,CC-ART,C,
121,Библиотека Лиговская,TL-LIB-LOC,C,
122,ГЭЗ-21,CC-ALT,C,
123,Библиотека Лавренева,TL-LIB-LOC,C,
124,Платформа,CC-ALT,C,
125,Библиотека Блока,TL-LIB-LOC,C,
126,Кэшбар,CM-FNB,C,
127,Танцы,CC-ALT,C,
128,Циферблат,CM-FNB,C,
129,Анненкирхе,CS-ALL,H,
130,HXGN,CC-ALT,C,
131,Кулуар Реставрация нравов,CC-ALT,C,
132,Кофейня 64 зерна,CM-FNB,C,
133,Универсальный лекторий Александрийская библиотека,TL-EDU,C,
134,СПбГУ,TL-EDU,C,
135,Дом журналиста,CS-ALL,C,
136,РОФ Петербургское наследие и перспектива,CS-ALL,C,
137,Музей печати,TL-MUS,C,
138,Академическая капелла,CC-PER,H,
139,Ателье,CC-ALT,C,
140,Пресс-клуб Зеленая лампа,CS-ALL,C,
141,Кофейня Щелкунчик,CM-FNB,C,
142,Fidel,CM-FNB,C,
143,Окоп,CC-ALT,C,
144,Кафе-бар Пегас,CM-FNB,C,
145,Кафе-клуб Песня,CM-FNB,C,
146,Малый зал филармонии,CC-PER,C,
147,Кинотеатр Авангард,CC-PER,S,
148,Театр поэтов Послушайте!,CC-PER,C,
149,Чудетство,CC-ALT,C,
150,Росбалт,CS-ALL,C,
151,Social Club,CM-FNB,C,
152,Борей-Арт,CC-ART,C,
153,ЦГДБ им. Пушкина филиал №1,TL-LIB-LOC,C,
154,Библиотека Семеновская,TL-LIB-LOC,C,
155,Марки и закладки,CM-BOK-IND,C,
156,Библиотека Герцена,TL-LIB-LOC,C,
157,Библиотека Екатерингофская,TL-LIB-LOC,C,
158,Музей повседневной культуры Ленинграда,TL-MUS,C,
159,Дом молодежи,CS-ALL,C,
160,Дом причта Феодоровского собора,CS-ALL,C,
161,Чайхана Аъало,CM-FNB,C,
162,Творческое пространство Пальма,CC-ALT,C,
163,Фундаментальная библиотека РГПУ,TL-LIB-MAJ,C,
164,НПО Родные просторы,CS-ALL,C,
165,Мраморный дворец,CC-ART,H,
166,Out Cinema,CC-PER,C,
167,Библиотека Старая Коломна,TL-LIB-LOC,C,
168,Музей-квартира Римского-Корсакова,TL-MUS,C,
169,Кинотеатр Англетер,CC-PER,C,
