id,name,transliterated_name,viaf_id,wikidata_id
334,Зоя Томашевская,Zoi͡a  Tomashevskai͡a,14127795,Q56307088
335,Георгий Ефремов,Heorgiĭ  Efremov,64419278,
337,Андрей Кивинов,Andreĭ  Kivinov,29113285,Q4220020
339,Джон Шемякин,Dzhon  Shemi͡akin,'208150323908509958144',Q28500918
340,Алексей Смирнов,Alekseĭ  Smirnov,'603144647706762674176',
341,Ольга Камаева,Olʹga  Kamaeva,,
342,Пётр Шабалин,Pёtr  Shabalin,,
343,Наташа Романова,Natasha  Romanova,697144647699329848289,Q124750243
344,Геннадий Григорьев,Hennadiĭ  Hrigorʹev,'6084149235106176827392',Q4149271
346,Эдуард Шнейдерман,Ėduard  Shneĭderman,236319466,Q4525813
347,Любовь Добашина,Li͡ubovʹ  Dobashina,,
348,Ефим Эткинд,Efim  Ėtkind,71390766,Q518172
350,Дмитрий Янковский,Dmitriĭ  I͡Ankovskiĭ,22079638,
359,Александр Триандафилиди,Aleksandr  Triandafilidi,,Q109487165
360,Пётр Епифанов,Pёtr  Epifanov,101469058,
366,Владимир Кривошеев,Vladimir  Krivosheev,12147989,
371,Тамара Буковская,Tamara  Bukovskai͡a,63288447,Q22672718
372,Михаил Боярский,Mikhail  Boi͡arskiĭ,35638128,Q544641
378,Томас Венцлова,Tomas  Vent͡slova,66504769,Q187907
379,Николай Рубанов,Nikolaĭ  Rubanov,,Q4398959
380,Оксана Ившина,Oksana  Ivshina,,
381,Илья Разин,Ilʹi͡a  Razin,,
382,Евгений Лазаренко,Evgeniĭ  Lazarenko,167317096,
384,Михаил Крылов,Mikhail  Krylov,106764468,Q4242781
385,Ян Левченко,I͡An  Levchenko,31636317,
386,Александр Кошелев,Aleksandr  Koshelev,286353363,Q17582595
387,Александра Кошелева,Aleksandra  Kosheleva,,
388,Нил Янг,Nil  I͡Ang,198007,Q633
389,Фредерик Уайт,Frederik  Uaĭt,,
391,Владимир Бауэр,Vladimir  Bauėr,268610977,Q4079727
392,Алексей Медведев,Alekseĭ  Medvedev,300601845,Q951448
393,Колин Монтгомери,Kolin  Montgomeri,,
394,Алексей Артамонов,Alekseĭ  Artamonov,'9576152684040323858432',
395,Василий Степанов,Vasiliĭ  Stepanov,'7787151778235718565888',Q4441789
396,Вадим Волков,Vadim  Volkov,98284617,Q30346472
397,Анна Ниман,Anna  Niman,63816894,
399,Александр Погребняк,Aleksandr  Pogrebni͡ak,'49151836497020403712',
401,Александр Симонов,Aleksandr  Simonov,300779182,
403,Алена Солнцева,Alena  Solnt͡seva,'4158003676501879808',
404,Сергей Астахов,Sergeĭ  Astakhov,61303341,Q4071602
406,Сергей Арно,Sergeĭ  Arno,281477400,Q16272608
